"Country","Year","Quarter","Value"
"Austria",2016,"Q1",1.03
"Belgium",2016,"Q1",1.5
"Croatia",2016,"Q1",1.5
"Cyprus",2016,"Q1",-0.57
"Estonia",2016,"Q1",0.33
"Finland",2016,"Q1",-0.03
"France",2016,"Q1",0.03
"Germany",2016,"Q1",0.13
"Greece",2016,"Q1",-0.23
"Ireland",2016,"Q1",-0.27
"Italy",2016,"Q1",0
"Latvia",2016,"Q1",-0.5
"Lithuania",2016,"Q1",0.67
"Luxembourg",2016,"Q1",-0.13
"Malta",2016,"Q1",0.93
"Netherlands",2016,"Q1",0.33
"Portugal",2016,"Q1",0.47
"Slovakia",2016,"Q1",-0.47
"Slovenia",2016,"Q1",-0.87
"Spain",2016,"Q1",-0.8
"Euroarea",2016,"Q2",-0.13
"Austria",2016,"Q2",0.6
"Belgium",2016,"Q2",1.63
"Croatia",2016,"Q2",1.63
"Cyprus",2016,"Q2",-1.1
"Estonia",2016,"Q2",0.13
"Finland",2016,"Q2",0.3
"France",2016,"Q2",0.1
"Germany",2016,"Q2",-0.1
"Greece",2016,"Q2",-0.13
"Ireland",2016,"Q2",-0.1
"Italy",2016,"Q2",-0.3
"Latvia",2016,"Q2",-0.7
"Lithuania",2016,"Q2",0.47
"Luxembourg",2016,"Q2",-0.53
"Malta",2016,"Q2",0.93
"Netherlands",2016,"Q2",-0.2
"Portugal",2016,"Q2",0.53
"Slovakia",2016,"Q2",-0.6
"Slovenia",2016,"Q2",-0.4
"Spain",2016,"Q2",-1.07
"Euroarea",2016,"Q3",0.27
"Austria",2016,"Q3",0.77
"Belgium",2016,"Q3",1.93
"Croatia",2016,"Q3",1.93
"Cyprus",2016,"Q3",-1.1
"Estonia",2016,"Q3",1.2
"Finland",2016,"Q3",0.5
"France",2016,"Q3",0.43
"Germany",2016,"Q3",0.4
"Greece",2016,"Q3",0.17
"Ireland",2016,"Q3",-0.2
"Italy",2016,"Q3",-0.07
"Latvia",2016,"Q3",0.17
"Lithuania",2016,"Q3",0.37
"Luxembourg",2016,"Q3",-0.1
"Malta",2016,"Q3",0.93
"Netherlands",2016,"Q3",-0.2
"Portugal",2016,"Q3",0.73
"Slovakia",2016,"Q3",-0.73
"Slovenia",2016,"Q3",-0.03
"Spain",2016,"Q3",-0.33
"Euroarea",2016,"Q4",0.73
"Austria",2016,"Q4",1.5
"Belgium",2016,"Q4",1.93
"Croatia",2016,"Q4",1.93
"Cyprus",2016,"Q4",0.2
"Estonia",2016,"Q4",1.6
"Finland",2016,"Q4",0.77
"France",2016,"Q4",0.67
"Germany",2016,"Q4",1.03
"Greece",2016,"Q4",0.23
"Ireland",2016,"Q4",-0.27
"Italy",2016,"Q4",0.17
"Latvia",2016,"Q4",1.47
"Lithuania",2016,"Q4",1.27
"Luxembourg",2016,"Q4",0.97
"Malta",2016,"Q4",0.77
"Netherlands",2016,"Q4",0.47
"Portugal",2016,"Q4",0.83
"Slovakia",2016,"Q4",-0.1
"Slovenia",2016,"Q4",0.67
"Spain",2016,"Q4",0.8
"Euroarea",2017,"Q1",1.73
"Austria",2017,"Q1",2.2
"Belgium",2017,"Q1",2.97
"Croatia",2017,"Q1",2.97
"Cyprus",2017,"Q1",1.13
"Estonia",2017,"Q1",3.07
"Finland",2017,"Q1",1.07
"France",2017,"Q1",1.47
"Germany",2017,"Q1",1.77
"Greece",2017,"Q1",1.53
"Ireland",2017,"Q1",0.37
"Italy",2017,"Q1",1.33
"Latvia",2017,"Q1",3.13
"Lithuania",2017,"Q1",2.97
"Luxembourg",2017,"Q1",2.57
"Malta",2017,"Q1",1.27
"Netherlands",2017,"Q1",1.3
"Portugal",2017,"Q1",1.43
"Slovakia",2017,"Q1",1
"Slovenia",2017,"Q1",2
"Spain",2017,"Q1",2.67
"Euroarea",2017,"Q2",1.53
"Austria",2017,"Q2",2.13
"Belgium",2017,"Q2",2.03
"Croatia",2017,"Q2",2.03
"Cyprus",2017,"Q2",1.17
"Estonia",2017,"Q2",3.4
"Finland",2017,"Q2",0.93
"France",2017,"Q2",1.03
"Germany",2017,"Q2",1.67
"Greece",2017,"Q2",1.33
"Ireland",2017,"Q2",0.03
"Italy",2017,"Q2",1.6
"Latvia",2017,"Q2",3.03
"Lithuania",2017,"Q2",3.4
"Luxembourg",2017,"Q2",2
"Malta",2017,"Q2",1.07
"Netherlands",2017,"Q2",1.03
"Portugal",2017,"Q2",1.7
"Slovakia",2017,"Q2",0.97
"Slovenia",2017,"Q2",1.37
"Spain",2017,"Q2",2.07
"Euroarea",2017,"Q3",1.47
"Austria",2017,"Q3",2.2
"Belgium",2017,"Q3",1.93
"Croatia",2017,"Q3",1.93
"Cyprus",2017,"Q3",1.43
"Estonia",2017,"Q3",4
"Finland",2017,"Q3",0.73
"France",2017,"Q3",0.97
"Germany",2017,"Q3",1.83
"Greece",2017,"Q3",0.83
"Ireland",2017,"Q3",0.13
"Italy",2017,"Q3",1.3
"Latvia",2017,"Q3",2.93
"Lithuania",2017,"Q3",4.43
"Luxembourg",2017,"Q3",2.03
"Malta",2017,"Q3",1.2
"Netherlands",2017,"Q3",1.47
"Portugal",2017,"Q3",1.3
"Slovakia",2017,"Q3",1.63
"Slovenia",2017,"Q3",1.33
"Spain",2017,"Q3",1.83
"Euroarea",2017,"Q4",1.4
"Austria",2017,"Q4",2.37
"Belgium",2017,"Q4",2
"Croatia",2017,"Q4",2
"Cyprus",2017,"Q4",1.5
"Estonia",2017,"Q4",4.1
"Finland",2017,"Q4",0.63
"France",2017,"Q4",1.2
"Germany",2017,"Q4",1.57
"Greece",2017,"Q4",0.87
"Ireland",2017,"Q4",0.5
"Italy",2017,"Q4",1.07
"Latvia",2017,"Q4",2.53
"Lithuania",2017,"Q4",4.07
"Luxembourg",2017,"Q4",1.87
"Malta",2017,"Q4",1.43
"Netherlands",2017,"Q4",1.33
"Portugal",2017,"Q4",1.77
"Slovakia",2017,"Q4",1.97
"Slovenia",2017,"Q4",1.53
"Spain",2017,"Q4",1.57
"Euroarea",2018,"Q1",1.27
"Austria",2018,"Q1",1.93
"Belgium",2018,"Q1",1.6
"Croatia",2018,"Q1",1.6
"Cyprus",2018,"Q1",1.1
"Estonia",2018,"Q1",3.23
"Finland",2018,"Q1",0.77
"France",2018,"Q1",1.5
"Germany",2018,"Q1",1.47
"Greece",2018,"Q1",0.27
"Ireland",2018,"Q1",0.5
"Italy",2018,"Q1",0.87
"Latvia",2018,"Q1",2.03
"Lithuania",2018,"Q1",3.1
"Luxembourg",2018,"Q1",1.17
"Malta",2018,"Q1",1.27
"Netherlands",2018,"Q1",1.27
"Portugal",2018,"Q1",0.87
"Slovakia",2018,"Q1",2.43
"Slovenia",2018,"Q1",1.53
"Spain",2018,"Q1",1.07
"Euroarea",2018,"Q2",1.73
"Austria",2018,"Q2",2.13
"Belgium",2018,"Q2",2.17
"Croatia",2018,"Q2",2.17
"Cyprus",2018,"Q2",1.8
"Estonia",2018,"Q2",3.3
"Finland",2018,"Q2",1
"France",2018,"Q2",2.13
"Germany",2018,"Q2",1.97
"Greece",2018,"Q2",0.77
"Ireland",2018,"Q2",0.43
"Italy",2018,"Q2",1
"Latvia",2018,"Q2",2.4
"Lithuania",2018,"Q2",2.57
"Luxembourg",2018,"Q2",1.93
"Malta",2018,"Q2",1.7
"Netherlands",2018,"Q2",1.53
"Portugal",2018,"Q2",1.23
"Slovakia",2018,"Q2",2.87
"Slovenia",2018,"Q2",2.13
"Spain",2018,"Q2",1.83
"Euroarea",2018,"Q3",2.13
"Austria",2018,"Q3",2.23
"Belgium",2018,"Q3",2.7
"Croatia",2018,"Q3",2.7
"Cyprus",2018,"Q3",1.97
"Estonia",2018,"Q3",3.43
"Finland",2018,"Q3",1.4
"France",2018,"Q3",2.57
"Germany",2018,"Q3",2.17
"Greece",2018,"Q3",0.93
"Ireland",2018,"Q3",1.03
"Italy",2018,"Q3",1.67
"Latvia",2018,"Q3",2.93
"Lithuania",2018,"Q3",2.17
"Luxembourg",2018,"Q3",2.53
"Malta",2018,"Q3",2.33
"Netherlands",2018,"Q3",1.8
"Portugal",2018,"Q3",1.77
"Slovakia",2018,"Q3",2.73
"Slovenia",2018,"Q3",2.1
"Spain",2018,"Q3",2.27
"Euroarea",2018,"Q4",1.9
"Austria",2018,"Q4",2.13
"Belgium",2018,"Q4",2.77
"Croatia",2018,"Q4",2.77
"Cyprus",2018,"Q4",1.33
"Estonia",2018,"Q4",3.67
"Finland",2018,"Q4",1.47
"France",2018,"Q4",2.2
"Germany",2018,"Q4",2.17
"Greece",2018,"Q4",1.17
"Ireland",2018,"Q4",0.9
"Italy",2018,"Q4",1.5
"Latvia",2018,"Q4",2.87
"Lithuania",2018,"Q4",2.33
"Luxembourg",2018,"Q4",2.43
"Malta",2018,"Q4",1.57
"Netherlands",2018,"Q4",1.83
"Portugal",2018,"Q4",0.77
"Slovakia",2018,"Q4",2.13
"Slovenia",2018,"Q4",1.93
"Spain",2018,"Q4",1.73
"Euroarea",2019,"Q1",1.43
"Austria",2019,"Q1",1.6
"Belgium",2019,"Q1",2
"Croatia",2019,"Q1",2
"Cyprus",2019,"Q1",0.83
"Estonia",2019,"Q1",2.3
"Finland",2019,"Q1",1.2
"France",2019,"Q1",1.43
"Germany",2019,"Q1",1.6
"Greece",2019,"Q1",0.77
"Ireland",2019,"Q1",0.87
"Italy",2019,"Q1",1.03
"Latvia",2019,"Q1",2.8
"Lithuania",2019,"Q1",2.07
"Luxembourg",2019,"Q1",2.03
"Malta",2019,"Q1",1.2
"Netherlands",2019,"Q1",2.5
"Portugal",2019,"Q1",0.77
"Slovakia",2019,"Q1",2.4
"Slovenia",2019,"Q1",1.37
"Spain",2019,"Q1",1.13
